Family,Member,Total_Images,Avg_Similarity,Status
F0432,MID5,4,0.7001849412918091,processed
F0432,MID2,8,0.511529266834259,processed
F0489,MID2,8,0.4371492266654968,processed
F0489,MID1,6,0.3939773142337799,processed
F0957,MID2,7,0.7927042245864868,processed
F0957,MID4,2,0.8748250007629395,processed
F0957,MID1,9,0.7539002299308777,processed
F0957,MID5,2,0.843019962310791,processed
F0957,MID3,6,0.6862123012542725,processed
F0869,MID2,8,0.5780231952667236,processed
F0869,MID1,10,0.6871594190597534,processed
F0869,MID3,10,0.5933103561401367,processed
F0010,MID2,10,0.556550920009613,processed
F0010,MID4,8,0.48940929770469666,processed
F0010,MID1,6,0.5191578269004822,processed
F0010,MID3,8,0.4899325966835022,processed
F0515,MID1,7,0.7418598532676697,processed
F0515,MID4,7,0.48335590958595276,processed
F0515,MID3,6,0.5511724352836609,processed
F0515,MID2,7,0.6618437170982361,processed
F0997,MID1,6,0.5812901854515076,processed
F0997,MID2,4,0.5258123874664307,processed
F0997,MID4,6,0.3884470462799072,processed
F0997,MID3,3,0.6424610614776611,processed
F0364,MID1,9,0.6485316753387451,processed
F0364,MID2,8,0.6799096465110779,processed
F0364,MID4,4,0.6723441481590271,processed
F0514,MID6,2,0.8132897615432739,processed
F0514,MID1,3,0.6741123795509338,processed
F0514,MID3,2,0.7998594045639038,processed
F0514,MID7,2,0.8267817497253418,processed
F0514,MID2,4,0.6473724842071533,processed
F0372,MID3,5,0.6567673087120056,processed
F0372,MID2,10,0.6964067816734314,processed
F0372,MID1,10,0.5920490026473999,processed
F0372,MID4,6,0.49373459815979004,processed
F0529,MID4,9,0.4079137146472931,processed
F0529,MID3,6,0.5099595189094543,processed
F0529,MID1,17,0.5398203134536743,processed
F0529,MID6,3,0.6748139262199402,processed
F0529,MID2,3,0.7976539731025696,processed
F0188,MID4,3,0.7626316547393799,processed
F0188,MID3,2,0.9190027713775635,processed
F0188,MID5,5,0.6334746479988098,processed
F0188,MID1,5,0.5952213406562805,processed
F0188,MID6,3,0.7817249298095703,processed
F0978,MID3,2,0.5043125748634338,processed
F0978,MID5,2,0.6294968128204346,processed
F0978,MID1,6,0.5694294571876526,processed
F0978,MID2,4,0.5929003953933716,processed
F1007,MID6,6,0.6799853444099426,processed
F1007,MID2,8,0.6550407409667969,processed
F1007,MID3,6,0.6866500973701477,processed
F1007,MID5,5,0.7476156949996948,processed
F1007,MID4,5,0.6763312220573425,processed
F1007,MID1,8,0.7032705545425415,processed
F1007,MID7,6,0.6614488959312439,processed
F0701,MID2,3,0.7968299388885498,processed
F0701,MID4,2,0.7615985870361328,processed
F0701,MID6,2,0.8709229826927185,processed
F0701,MID1,9,0.6157829761505127,processed
F0701,MID8,3,0.7217350602149963,processed
F0701,MID3,3,0.6892194747924805,processed
F0701,MID7,3,0.6613876819610596,processed
F0701,MID5,3,0.6382672190666199,processed
F0749,MID5,3,0.6185904145240784,processed
F0749,MID1,7,0.6736755967140198,processed
F0749,MID4,9,0.6227009296417236,processed
F0749,MID2,8,0.7553266286849976,processed
F0749,MID3,3,0.8024713397026062,processed
F0737,MID5,2,0.6026434898376465,processed
F0737,MID3,3,0.6431264281272888,processed
F0737,MID1,9,0.6035944819450378,processed
F0737,MID4,5,0.4961182177066803,processed
F0737,MID2,3,0.8149130344390869,processed
F0197,MID3,7,0.6613591313362122,processed
F0197,MID4,8,0.42248770594596863,processed
F0197,MID6,7,0.489513099193573,processed
F0197,MID5,7,0.516136884689331,processed
F0197,MID2,10,0.7616881132125854,processed
F0197,MID1,10,0.7615817785263062,processed
F0835,MID2,6,0.7486390471458435,processed
F0835,MID1,8,0.6637710332870483,processed
F0835,MID4,5,0.7276180982589722,processed
F0835,MID6,4,0.5818912386894226,processed
F0835,MID3,5,0.7109411358833313,processed
F0835,MID5,3,0.7155611515045166,processed
F0646,MID4,2,0.7897480726242065,processed
F0646,MID1,9,0.48612838983535767,processed
F0646,MID3,7,0.6450327038764954,processed
F0646,MID2,2,0.6339417099952698,processed
F0646,MID6,4,0.6607000827789307,processed
